sprint,date_debut,date_fin,points_engages,points_livres,nb_tickets_engages,nb_tickets_livres
Sprint 18,2026-01-05,2026-01-16,42,40,18,17
Sprint 19,2026-01-19,2026-01-30,45,43,19,19
Sprint 20,2026-02-02,2026-02-13,44,41,18,16
Sprint 21,2026-02-16,2026-02-27,46,38,20,15
Sprint 22,2026-03-02,2026-03-13,44,34,19,14
Sprint 23,2026-03-16,2026-03-27,45,33,19,13
Sprint 24,2026-03-30,2026-04-10,43,30,18,12
Sprint 25,2026-04-13,2026-04-24,44,29,19,11
Sprint 26,2026-04-27,2026-05-08,42,28,18,11
Sprint 27,2026-05-11,2026-05-22,40,27,17,10
Sprint 28,2026-05-25,2026-06-05,40,26,17,10
Sprint 29,2026-06-08,2026-06-19,38,25,16,9
